2024-2025学年第二学期全校总课表（部分）,,,,,,,,,,,,,,,
开课学院,课程名称,课程性质,教学班名称,课程号,学分,任课教师,课堂容量,已选人数,上课时间,教学地点,合班信息,起始结束周,课程归属,总学时,课程类别
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-07,83141,1.0,景赫,46,0,星期四第4-5节{2-16周(双)},J3-408,24工商1,2-16周(双),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-08,83141,1.0,景赫,47,0,星期四第4-5节{1-15周(单)},J3-408,24工商2,1-15周(单),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-09,83141,1.0,景赫,42,0,星期四第1-2节{1-15周(单)},J3-408,24人力1,1-15周(单),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-10,83141,1.0,景赫,45,0,星期四第1-2节{2-16周(双)},J3-408,24市营1,2-16周(双),无,16,通识课
创业学院,企业经营模拟体验,必修课,(2024-2025-2)-84024-04,84024,0.5,毛樟伟,36,0,星期日第1-12节{5-6周},S1-403,无,5-6周,无,24,实践课
创业学院,企业经营模拟体验,自选课,(2024-2025-2)-84024-17,84024,0.5,毛樟伟,36,0,星期日第1-12节{1-2周},S1-407,无,1-2周,无,24,实践课
创业学院,视频剪辑与创作,通识选修课,(2024-2025-2)-84101-01,84101,2.0,毛樟伟,30,0,星期三第9-10节{1-16周},S2-210,无,1-16周,自然科学与信息技术模块,32,通识课
创业学院,视频剪辑与创作,通识选修课,(2024-2025-2)-84101-02,84101,2.0,毛樟伟,30,0,星期三第11-12节{1-16周},S2-210,无,1-16周,自然科学与信息技术模块,32,通识课
创业学院,短视频编辑与创作,必修课,(2024-2025-2)-90011-01,90011,3.0,毛樟伟,500,0,星期五第11-13节{1-16周},S1-202,2022直播电商创业（微专业）,1-16周,无,48,专业课
创业学院,短视频创业实践,必修课,(2024-2025-2)-90015-01,90015,3.0,毛樟伟,500,0,星期二第11-13节{10-13周},S1-202,2022直播电商创业（微专业）,10-13周,无,48,专业课
